Type:,Filename:,Part:,Our Vals:,Notes:
FN,CENTRALSEMICONDUCTORCORP_MPSA42,MPSA42,300,Digikey vals: ['300']
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA63,20,Digikey parts: {'MPSA65': ['30']}
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA64,30,Digikey parts: {'MPSA65': ['30']}
FN,CENTRALSEMICONDUCTORCORP_MPSA64,MPSA65,30,Digikey vals: ['30']
FN,CSEMS05382-1,BC546A,80,Digikey vals: ['80']
FN,DIODESINCORPORATED_2DD26527,2DD2652-7,12,Digikey vals: ['12']
FN,DIODESINCORPORATED_FCX555TA,FCX555TA,180,Digikey vals: ['180']
FN,DIODESINCORPORATED_ZTX688BSTZ,ZTX688B,12,Digikey vals: ['12']
FN,DIODESINCORPORATED_ZXT690BKTC,ZXT690BKTC,45,Digikey vals: ['45']
FN,DIODESINCORPORATED_ZXTP2008ZTA,ZXTP2008ZTA,30,Digikey vals: ['30']
FN,MICROCOMMERCIALCO_2N3904AP,2N3904-AP,40,Digikey vals: ['40']
FN,MICROCOMMERCIALCO_MPSA92AP,MPSA92-AP,300,Digikey vals: ['300']
FN,MICROCOMMERCIALCO_TIP29ABP,TIP29A-BP,60,Digikey parts: {'TIP29B-BP': ['80']}
FN,MICROCOMMERCIALCO_TIP29ABP,TIP29B-BP,80,Digikey vals: ['80']
FN,MICROCOMMERCIALCO_TIP29ABP,TIP29C-BP,100,Digikey parts: {'TIP29B-BP': ['80']}
FN,ONSEMICONDUCTOR_MPSA12,MPSA12,20,Digikey parts: {'MPSA12RLRAG': ['20']}
FN,ONSEMICONDUCTOR_MPSA12,MPSA12G,20,Digikey parts: {'MPSA12RLRAG': ['20']}
FN,ONSEMICONDUCTOR_MPSA12,MPSA12RLRA,20,Digikey parts: {'MPSA12RLRAG': ['20']}
FN,ONSEMICONDUCTOR_MPSA12,MPSA12RLRAG,20,Digikey vals: ['20']
FN,ONSEMICONDUCTOR_MPSA12,MPSA12RLRP,20,Digikey parts: {'MPSA12RLRAG': ['20']}
